Ticker,MDA_LSTM,MDA_ARIMA,CCC_LSTM,CCC_ARIMA,SPA_LSTM,SPA_ARIMA,HR_LSTM,HR_ARIMA,TPC_LSTM,TPC_ARIMA,Fréchet_LSTM,Fréchet_ARIMA,SBD_LSTM,SBD_ARIMA
APOLLOHOSP.NS,0.7894736842105263,0.631578947368421,0.7857417333177374,0.9315300112463889,1.0,1.0,0.7894736842105263,0.631578947368421,2,0,992.3760153671589,560.7600834213721,0.21425826668226267,0.06846998875361132
BEL.NS,0.5263157894736842,0.5263157894736842,0.26142111778115235,0.765617619806531,1.0,1.0,0.5263157894736842,0.5263157894736842,1,0,40.97719417135608,5.818995051718017,0.7385788822188477,0.23438238019346902
HDFCBANK.NS,0.47368421052631576,0.3684210526315789,-0.6326926794780617,-0.9037587248297324,1.0,1.0,0.47368421052631576,0.3684210526315789,1,0,214.37545117187506,282.57469237937926,1.6326926794780614,1.9037587248297325
HINDALCO.NS,0.6842105263157895,0.42105263157894735,0.16826278633768105,-0.7914757617017949,1.0,1.0,0.6842105263157895,0.42105263157894735,1,1,81.96180062986657,74.29862817991541,0.8317372136623189,1.7914757617017951
TCS.NS,0.47368421052631576,0.47368421052631576,0.07424543285887633,0.05186801911159595,1.0,1.0,0.47368421052631576,0.47368421052631576,1,1,311.73984894382073,149.69474759899464,0.9257545671411237,0.9481319808884041
SBILIFE.NS,0.47368421052631576,0.5263157894736842,-0.6937332285118428,-0.6370857192867423,1.0,1.0,0.47368421052631576,0.5263157894736842,2,0,47.58699999999999,59.121049078726735,1.6937332285118427,1.6370857192867423
POWERGRID.NS,0.631578947368421,0.6842105263157895,0.37643550582940566,-0.20546212368196504,1.0,1.0,0.631578947368421,0.6842105263157895,1,1,22.928480623725473,18.551297790170906,0.6235644941705942,1.205462123681965
ULTRACEMCO.NS,0.631578947368421,0.47368421052631576,0.5977048567242957,-0.2616676092600195,1.0,1.0,0.631578947368421,0.47368421052631576,1,1,1290.7115826957715,737.9618233977835,0.40229514327570404,1.2616676092600194
ADANIENT.NS,0.2631578947368421,0.42105263157894735,-0.5606976609547875,-0.028723169470118146,1.0,1.0,0.2631578947368421,0.42105263157894735,2,1,771.2316317471655,208.4308650710693,1.5606976609547873,1.0287231694701182
HDFCLIFE.NS,0.5789473684210527,0.21052631578947367,-0.8279095428655073,-0.9319545770929331,1.0,1.0,0.5789473684210527,0.21052631578947367,2,0,101.39940000000001,75.6899560271246,1.8279095428655072,1.931954577092933
GRASIM.NS,0.631578947368421,0.5263157894736842,0.1637947621274894,0.12097804755528016,1.0,1.0,0.631578947368421,0.5263157894736842,1,0,125.74259134142109,78.86827411908251,0.8362052378725107,0.8790219524447198
ITC.NS,0.5263157894736842,0.3684210526315789,-0.40621972526406247,-0.7138634729647771,1.0,1.0,0.5263157894736842,0.3684210526315789,1,0,27.001721222960953,27.098752052420707,1.4062197252640625,1.7138634729647773
DRREDDY.NS,0.3684210526315789,0.3684210526315789,-0.4167069269479979,-0.2501139781682397,1.0,1.0,0.3684210526315789,0.3684210526315789,2,0,276.6448218012534,148.99979107049023,1.416706926947998,1.2501139781682398
RELIANCE.NS,0.47368421052631576,0.5789473684210527,0.10699156602064414,0.7850226728186637,1.0,1.0,0.47368421052631576,0.5789473684210527,1,0,361.692480048705,286.4616415047054,0.8930084339793558,0.21497732718133622
ONGC.NS,0.5263157894736842,0.631578947368421,0.08662707827977116,0.9219236999127698,1.0,1.0,0.5263157894736842,0.631578947368421,1,0,50.626487216595436,46.58833467603658,0.9133729217202289,0.07807630008723021
JSWSTEEL.NS,0.6842105263157895,0.3684210526315789,0.02107285853183833,-0.7844212736424239,1.0,1.0,0.6842105263157895,0.3684210526315789,1,0,54.66110000000003,91.4392035313973,0.9789271414681616,1.7844212736424239
EICHERMOT.NS,0.42105263157894735,0.3684210526315789,-0.7057423198279197,-0.9119201958214656,1.0,1.0,0.42105263157894735,0.3684210526315789,2,0,406.58206802686215,529.1732334867373,1.7057423198279191,1.9119201958214656
TITAN.NS,0.631578947368421,0.5789473684210527,0.27290955896819996,0.6995954761992474,1.0,1.0,0.631578947368421,0.5789473684210527,1,0,392.0012071344966,147.08969458540835,0.7270904410318001,0.30040452380075255
SUNPHARMA.NS,0.42105263157894735,0.631578947368421,0.44659357659737337,0.8736380581745363,1.0,1.0,0.42105263157894735,0.631578947368421,2,0,179.00426883720667,127.97370602614846,0.5534064234026266,0.12636194182546368
INDUSINDBK.NS,0.47368421052631576,0.5263157894736842,-0.7358144272904259,-0.017621000986235473,1.0,1.0,0.47368421052631576,0.5263157894736842,1,13,152.2325488043246,156.29612085909207,1.7358144272904257,1.0176210009862354
BPCL.NS,0.42105263157894735,0.6842105263157895,0.6705563004226502,0.8405891640184768,1.0,1.0,0.42105263157894735,0.6842105263157895,2,0,34.7766904195339,26.00209512975215,0.32944369957734976,0.15941083598152295
MARUTI.NS,0.5263157894736842,0.42105263157894735,-0.11067401804400788,-0.5962205109106267,1.0,1.0,0.5263157894736842,0.42105263157894735,2,0,212.31080468750042,444.58018169419074,1.1106740180440078,1.5962205109106267
TATASTEEL.NS,0.5789473684210527,0.47368421052631576,0.1391233728172235,-0.3544128584977735,1.0,1.0,0.5789473684210527,0.47368421052631576,1,1,7.5443075197396325,10.348831369201923,0.8608766271827765,1.3544128584977733
BAJAJ-AUTO.NS,0.42105263157894735,0.5263157894736842,0.19719046829367398,0.8352100232929869,1.0,1.0,0.42105263157894735,0.5263157894736842,2,0,1140.4298883185202,734.7284794256302,0.802809531706326,0.16478997670701323
ASIANPAINT.NS,0.42105263157894735,0.3157894736842105,-0.546605314428694,-0.9370565193055846,1.0,1.0,0.42105263157894735,0.3157894736842105,1,0,377.92500234374984,481.20873141137963,1.5466053144286938,1.9370565193055846
HINDUNILVR.NS,0.631578947368421,0.47368421052631576,-0.3534094149021657,-0.8484770464731856,1.0,1.0,0.631578947368421,0.47368421052631576,1,1,132.37296385545466,286.67926521102027,1.3534094149021656,1.8484770464731852
